OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
510,2022,CA,USF,MDF,WILLOW,576,2022/08/04 00:00:00+00,2022/08/07 00:00:00+00,1,1,1,35.42039,,,{F0ED56F4-21AE-4AFF-89C9-4E3A395D9C80},,,2020,258266.1836,2371.880022
511,2022,CA,USF,BDF,CACTUS ,7448,2022/04/30 00:00:00+00,2022/05/08 00:00:00+00,9,6,1,26.48567,1C6131F5-5B3F-4C9E-A0B8-85D3AD87E2D7,,{1C6131F5-5B3F-4C9E-A0B8-85D3AD87E2D7},,,2020,157403.8242,3050.365265
512,2022,CA,USF,ANF,CHERRY,1728,2022/06/13 00:00:00+00,2022/06/14 00:00:00+00,14,6,1,14.31055,,,{A358D32F-E010-4AD5-A87C-B800BB59E447},,,2020,85623.08984,1853.32936
513,2022,CA,USF,BDF,MANZANITA,13457,2022/09/23 00:00:00+00,2022/09/30 00:00:00+00,9,6,1,26.86633,,,{30C67238-E97F-4FA5-9FDA-6095CC2BB252},,,2020,159238.7188,2297.421281
514,2022,CA,USF,KNF,SMOKEY,6504,2022/08/04 00:00:00+00,2022/08/09 00:00:00+00,14,6,1,33.67451,,,{37761244-7CDB-4EE3-B49C-E69F01F8D8A8},,,2020,246744.8672,2102.001066
515,2022,CA,USF,KNF,ELIZA,7844,2022/09/09 00:00:00+00,2022/09/16 00:00:00+00,14,6,1,19.21475,,,{E9BC177F-A03B-4413-82B3-BA066AFF21D0},,,2020,139965.5,2655.263486
516,2022,CA,USF,BDF,CASTILE,7822,2022/05/10 00:00:00+00,2022/05/11 00:00:00+00,9,6,1,9.858478,,,{80EDDFF1-FB2E-4998-A47E-5AB2F4B15E23},,,2020,57912.73047,984.837124
517,2022,CA,CDF,AEU,POWER,30416,2022/10/23 00:00:00+00,2022/10/26 00:00:00+00,11,1,1,21.0131,,,{BD6F9343-7787-4D2B-A254-ED5164F992CC},,,2020,138458.4414,2004.585246
518,2022,CA,CDF,SHU,BRANSTETTER,9708,2022/08/31 00:00:00+00,2022/08/31 00:00:00+00,4,3,1,33.77932,,,{D2C0BD08-A0BB-43B0-97AC-17506259D10C},,,2020,236878.1211,2275.391586
519,2022,CA,CDF,SHU,PETER,7626,2022/07/14 00:00:00+00,2022/07/20 00:00:00+00,15,1,1,303.67,,,{020E62ED-3948-4427-8F5A-47F035E65D72},,,2020,2124521.297,10686.44023
520,2022,CA,CDF,SHU,HOBBY,11107,2022/10/06 00:00:00+00,2022/10/06 00:00:00+00,14,1,1,12.32455, ,,{ED69AF45-96E4-4B59-9521-4177B091BED0},,,2020,86329.50781,1422.433799
521,2022,CA,CDF,SHU,FLANAGAN,2384,2022/03/04 00:00:00+00,2022/03/04 00:00:00+00,5,1,1,88.68606,,,{4A20DAD5-3237-447B-AB50-D77169D1D527},,,2020,624491.6016,3514.156231
522,2022,CA,CDF,SLU,WINEMAN,9015,2022/06/19 00:00:00+00,2022/06/19 00:00:00+00,7,1,1,56.78185,,,{F8F58C62-9E69-4482-89D8-8EF9262BDB75},,,2020,343231.582,3863.333754
523,2022,CA,CDF,SLU,CAMINO,9548,2022/06/28 00:00:00+00,2022/07/04 00:00:00+00,9,1,1,386.9821,,,{E3C0BFF6-A34F-4964-B6EC-73E9FED6CC9B},,,2020,2347357.547,12143.27696
524,2022,CA,CDF,SLU,TEFT,10577,2022/07/15 00:00:00+00,2022/07/17 00:00:00+00,10,1,1,25.53244,,,{C3F53F77-D58E-4A38-B6D6-BF1667BE8DDD},,,2020,154433.9414,3046.942065
525,2022,CA,CDF,SLU,PRICE,21,2022/01/01 00:00:00+00,2022/01/01 00:00:00+00,4,6,1,0.06728618,Transient Campfire Fatality,,{DEA6CF90-F556-437A-8F57-52F9D06EF8BA},,,2020,408.3359375,80.86275159
526,2022,CA,CDF,MEU,MEADOW,8119,2022/07/19 00:00:00+00,2022/07/19 00:00:00+00,2,1,1,16.55005,,,{2E1A2089-73C9-4A6D-A0CA-0181B75BBD5C},,,2020,111257.6406,2095.723681
527,2022,CA,CDF,SLU,ESTRELLA,4203,2022/03/23 00:00:00+00,2022/03/23 00:00:00+00,11,6,1,1.968684,,,{4C2E1220-EB57-48EC-852D-0E56F3DC7AD5},,,2020,12101.24219,534.18598
528,2022,CA,CDF,SLU,WILSON,6106,2022/04/28 00:00:00+00,2022/04/28 00:00:00+00,5,1,1,1.261111,,,{4559666C-ED59-4CBD-84F4-62F21F1A7CB2},,,2020,7700.941406,500.5467235
529,2022,CA,CDF,BEU,BENITO,3343,2022/09/14 00:00:00+00,2022/09/15 00:00:00+00,14,7,1,89.9549,,,{AC5F896F-4C02-428A-8F84-A28A29A2F985},,,2020,570010.4414,3390.522823
530,2022,CA,CDF,SLU,EAGLE,8246,2022/06/06 00:00:00+00,2022/06/06 00:00:00+00,14,1,1,49.81456,,,{DCDE2DF9-53F1-40DB-823E-D9C7F6E65593},,,2020,306423.2656,2713.005924
531,2022,CA,CDF,SLU,LOPEZ,8237,2022/06/06 00:00:00+00,2022/06/10 00:00:00+00,9,1,1,16.42301,Target Shooting,,{796F27BA-DC27-426A-9139-C0B4DA76E73A},,,2020,99875.13281,2598.685632
532,2022,CA,CDF,SLU,TOPAZ,8430,2022/06/10 00:00:00+00,2022/06/10 00:00:00+00,9,1,1,3.162654,Solar Panels,,{95E10D14-6E39-4187-AF71-3BDA9DDB40B7},,,2020,19293.35938,595.1203155
533,2022,CA,LRA,SLU,MARIA,9158,2022/06/21 00:00:00+00,2022/06/21 00:00:00+00,9,5,1,1.397867,,,{77493EED-7521-47DC-AC70-49427B949256},,,2020,8447.972656,468.4988883
534,2022,CA,CCO,LAC,CANYON,115026,2022/04/06 00:00:00+00,2022/04/06 00:00:00+00,9,7,1,2.593182,,,{7AB52765-9118-466F-9AD6-4E815D3A6772},,,2020,15407.35547,645.2177964
535,2022,CA,LRA,LAC,BARREL,216308,2022/06/29 00:00:00+00,2022/06/30 00:00:00+00,9,7,1,7.608925,,,{4200A3E8-C00D-4F4C-B43F-9F01DA1DC6BF},,,2020,45513.29688,1584.632985
536,2022,CA,LRA,LAC,CUT OFF,230119,2022/07/10 00:00:00+00,2022/07/10 00:00:00+00,14,7,1,2.501228,,,,,,2020,14755.64453,901.8165976
537,2022,CA,CCO,LAC,HUGHES,263997,2022/08/06 00:00:00+00,2022/08/06 00:00:00+00,10,7,1,7.944128,,,{874F1FFB-5162-4830-9B34-AA83E2404072},,,2020,47749.11328,1204.863
538,2022,CA,CCO,LAC,SYCAMORE,51618,2022/02/10 00:00:00+00,2022/02/11 00:00:00+00,14,7,1,3.735543,,,{77FBE31A-636F-44C0-ABE7-611D1C06F214},,,2020,22052.17578,1130.499813
539,2022,CA,CCO,LAC,SAM,269184,2022/08/10 00:00:00+00,2022/08/11 00:00:00+00,14,7,1,125.3294,,,{856D83A6-E6BA-416B-8800-94E4F35F5066},,,2020,753342.0352,6504.561262
540,2022,CA,CCO,LAC,QUAIL,278058,2022/08/17 00:00:00+00,2022/08/18 00:00:00+00,14,7,1,60.45229,,,{9566B9A2-C067-4E91-8026-F4E83013C428},,,2020,360946.043,4126.222301
541,2022,CA,LRA,LAC,RIDGE,280336,2022/08/18 00:00:00+00,2022/08/19 00:00:00+00,14,7,1,4.834825,,,{3811358E-4FE1-4AC6-93D7-12F991C25768},,,2020,28648.24219,978.5689546
542,2022,CA,CCO,LAC,TIERRA,222780,2022/08/17 00:00:00+00,2022/08/17 00:00:00+00,14,7,1,2.101613,,,{7C9FCF52-9513-4247-950D-7366B2CFD7F4},,,2020,12569.51172,718.012932
543,2022,CA,CCO,LAC,ROUTE,294803,2022/08/31 00:00:00+00,2022/09/07 00:00:00+00,14,7,1,5227.923,,,{E27C88E9-90B0-4557-8DB3-3ED1232D95A0},,,2020,31259236.46,32350.69603
544,2022,CA,CCO,LAC,MUNZ,313159,2022/09/13 00:00:00+00,2022/09/14 00:00:00+00,14,7,1,1.847821,,,{62D7ED5F-EB02-4D9C-A6C6-52A81D9078F1},,,2020,11081.22656,461.6190761
545,2022,CA,CCO,LAC,CHESEBORO,304524,2022/09/07 00:00:00+00,2022/09/08 00:00:00+00,14,7,1,1.093091,,,{89D02F81-6609-485A-BAC2-C5CB3050CEEC},,,2020,6529.660156,350.4432939
546,2022,CA,LRA,LAC,LOBO,326174,2022/09/24 00:00:00+00,2022/09/25 00:00:00+00,14,7,1,10.79503,,,{449ABB54-788F-4BFE-AFF5-FDB28AA0886A},,,2020,63953.00781,1397.116264
547,2022,CA,CCO,ANF,OAKWILDE,334495,2022/10/01 00:00:00+00,2022/10/02 00:00:00+00,10,7,1,2.106468,,,{53CDE2E3-FDA1-45D9-AC8B-A7F7243ECA52},,,2020,12509.70703,621.9348473
548,2022,CA,CCO,LAC,PYRAMID,358988,2022/10/21 00:00:00+00,2022/10/22 00:00:00+00,10,7,1,6.758175,,,{C571C51F-1747-4835-BA2B-AEC0AB7F99D0},,,2020,40658.81641,946.0952249
549,2022,CA,CDF,SLU,CANYON,8884,2022/06/17 00:00:00+00,2022/06/17 00:00:00+00,7,5,1,17.27645,,,{D3CFA636-7F67-4E04-8F82-EC36F3E231E3},,,2020,104430.3242,1692.943052
550,2022,CA,CDF,SLU,WINDWOOD,11386,2022/07/29 00:00:00+00,2022/07/29 00:00:00+00,10,5,1,6.372824,,,{0700B3D5-668E-4C55-940C-4A552E75FE98},,,2020,39090.92969,1166.868096
551,2022,CA,CDF,SLU,ROSA,13588,2022/09/06 00:00:00+00,2022/09/06 00:00:00+00,9,1,1,16.23023,Electrical power,,{63B28E86-ED19-40DA-9A87-E58DA3328A9B},,,2020,99537.95703,1724.073387
552,2022,CA,CDF,SLU,BULL,7510,2022/05/24 00:00:00+00,2022/05/25 00:00:00+00,2,1,1,50.92991,,,{F3799027-7112-4682-B7F6-A0DF0E99EDDF},,,2020,307818.2461,2364.374839
553,2022,CA,CDF,SLU,SUEY,7402,2022/05/22 00:00:00+00,2022/05/24 00:00:00+00,2,5,1,15.09703,Cutting firewood,,{2A242940-FE80-441C-9163-4EF021EC3AC6}},,,2020,91316.41797,1537.392898
554,2022,CA,CDF,BDU,FAIRVIEW,9629,2022/07/08 00:00:00+00,2022/07/10 00:00:00+00,11,1,1,11.73994,,,{B2DFC4A6-4A3A-450F-9645-01ECCCBD360C},,,2020,75324.45703,1483.489468
555,2022,CA,CDF,MVU,HARBISON 2,15278,2022/07/12 00:00:00+00,2022/07/13 00:00:00+00,2,1,1,26.85744,,,{EA048D0F-B7EF-4C71-9FB0-A430E0F18809},,,2020,154247.9844,2151.52291
556,2022,CA,CDF,NEU,WATT,28369,2022/10/15 00:00:00+00,2022/10/21 00:00:00+00,11,1,1,42.42685,,,{9CD579D3-D5F7-4BF0-B328-A7F1A665A730},,,2020,282640.8086,2502.249925
557,2022,CA,CDF,LNU,OLD,9242,2022/05/31 00:00:00+00,2022/06/03 00:00:00+00,14,1,1,375.9125,,,{CFA94229-9707-40CB-AF29-28FC38813572},,,2020,2479537.953,9589.115079
558,2022,CA,CDF,LNU,ROBLAR,11170,2022/06/27 00:00:00+00,2022/06/27 00:00:00+00,2,1,1,63.26585,,,{04044B42-4057-446D-B498-85278F568AD2},,,2020,416540.9336,2972.318543
559,2022,CA,CDF,RRU,FAIRVIEW,129712,2022/09/06 00:00:00+00,2022/09/30 00:00:00+00,14,1,1,28097.87, ,,{A4DEF98D-98F0-46AC-A17B-9F7AD6116CE3},,,2020,164597174.5,150836.6122
560,2022,CA,CDF,LNU,ESTATES,12591,2022/07/17 00:00:00+00,2022/07/17 00:00:00+00,16,1,1,0.7762036,fatality,,{F4AA27EC-B904-48A1-9C2A-DE471827CDC2},,,2020,5163.34375,291.0611975
561,2022,CA,NPS,YNP,SNOW,26,2022/06/17 00:00:00+00,2022/07/02 00:00:00+00,4,7,1,24.0517,,,{A31CCD79-E21B-4902-94B8-9B7E40F3535E},,,2020,156038.6953,4109.080735
562,2022,CA,NPS,JTP,ELK TRAIL,8459,2022/05/26 00:00:00+00,2022/05/31 00:00:00+00,7,1,1,414.1108,,,{6560BC7F-50C4-4990-9555-C1EA10FDCEC1},,,2020,2448922.379,13620.16714
563,2022,CA,NPS,YNP,WASHBURN,38,2022/07/07 00:00:00+00,2022/09/30 00:00:00+00,7,3,1,4886.124,,,{F8770EE9-DD20-421D-B4BB-637EA51F028A},,,2020,31490865.88,50856.30167
